hHostNameFinal,hOrder,hFamily,hGenus,hSpecies,hMarOTerr,hWildDomFAO,hAllZACites,hDiseaseZACites,hHuntedIUCN,hArtfclHbttUsrIUCN,IUCN_Species_ID,Authority,Synonyms,Common_names_Eng,Common_names_Fre,Common.names_Spa,RedList_status,RedList_criteria,RedList_criteria_version,Year_assessed,Population_trend,,,,,,,,,,,,,,
Apodemus_argenteus,RODENTIA,MURIDAE,Apodemus,argenteus,Terrestrial,wild,224,73,0,0,42642,"(Temminck, 1844)",NA,Small Japanese Field Mouse,NA,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Apodemus_flavicollis,RODENTIA,MURIDAE,Apodemus,flavicollis,Terrestrial,wild,1330,335,0,0,1892,"(Melchior, 1834)",Apodemus arianus  |Apodemus arianus  |Apodemus arianus  |Apodemus ponticus  |Apodemus ponticus  |Apodemus ponticus,Yellow-necked Field Mouse,"Mulot è Collier, Mulot è Collier","Rat_n Leonado, Rat_n Leonado",LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Apodemus_mystacinus,RODENTIA,MURIDAE,Apodemus,mystacinus,Terrestrial,wild,123,17,0,1,1898,"(Danford & Alston, 1877)",NA,"Broad-toothed Field Mouse, Eastern Broad-toothed Field Mouse",Mulot Rupestre,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Apodemus_peninsulae,RODENTIA,MURIDAE,Apodemus,peninsulae,Terrestrial,wild,183,53,0,1,1899,"(Thomas, 1907)",Apodemus giliacus  |Apodemus majusculus  |Apodemus rufulus  |Apodemus tscherga,Korean Field Mouse,NA,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Apodemus_speciosus,RODENTIA,MURIDAE,Apodemus,speciosus,Terrestrial,wild,421,168,0,1,1903,"(Temminck, 1844)",Micromys speciosus subspecies ainu,Large Japanese Field Mouse,NA,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Apodemus_sylvaticus,RODENTIA,MURIDAE,Apodemus,sylvaticus,Terrestrial,wild,2278,581,0,1,1904,"(Linnaeus, 1758)",NA,"Long-tailed Field Mouse, Wood Mouse","Mulot Sylvestre, MULOT SYLVESTRE","Rat_n De Campo, RATîN DE CAMPO",LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Apodemus_uralensis,RODENTIA,MURIDAE,Apodemus,uralensis,Terrestrial,wild,112,25,0,1,1905,"(Pallas, 1811)",NA,"Herb Field Mouse, Pygmy Field Mouse, Ural Field Mouse",Mulot Pygm_e,Rat_n De Campo Enano,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Arctocephalus_australis,CARNIVORA,OTARIIDAE,Arctocephalus,australis,Marine,wild,175,17,1,0,2055,"(Zimmermann, 1783)",NA,"South American Fur Seal, Southern Fur Seal",Otarie è Fourrure Australe,Oso Marino Austral,LC,NA,3.1,2008,increasing,,,,,,,,,,,,,,
Artibeus_cinereus,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,cinereus,Terrestrial,wild,41,5,0,1,2124,"(Gervais, 1856)",NA,Gervais's Fruit-eating Bat,NA,NA,LC,NA,3.1,2008,unknown,,,,,,,,,,,,,,
Artibeus_fimbriatus,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,fimbriatus,Terrestrial,wild,39,11,0,0,2126,"Gray, 1838",NA,Fringed Fruit-eating Bat,NA,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Artibeus_jamaicensis,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,jamaicensis,Terrestrial,wild,302,38,0,1,2135,"Leach, 1821",NA,Jamaican Fruit-eating Bat,NA,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Artibeus_lituratus,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,lituratus,Terrestrial,wild,199,54,0,1,2136,"(Olfers, 1818)",Artibeus intermedius,Great Fruit-eating Bat,NA,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Artibeus_phaeotis,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,phaeotis,Terrestrial,wild,21,3,0,1,2138,"(Miller, 1902)",NA,Pygmy Fruit-eating Bat,NA,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Artibeus_planirostris,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,planirostris,Terrestrial,wild,54,1,0,1,2139,"(Spix, 1823)",NA,Flat-faced Fruit-eating Bat,NA,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Artibeus_toltecus,CHIROPTERA,PHYLLOSTOMIDAE,Artibeus,toltecus,Terrestrial,wild,20,1,0,1,2140,"(Saussure, 1860)",NA,Toltec Fruit-eating Bat,NA,NA,LC,NA,3.1,2008,unknown,,,,,,,,,,,,,,
Arvicanthis_neumanni,RODENTIA,MURIDAE,Arvicanthis,neumanni,Terrestrial,wild,5,2,0,0,2148,"Matschie, 1894",Arvicanthis somalicus,Somali Grass Rat,NA,NA,LC,NA,3.1,2008,unknown,,,,,,,,,,,,,,
Arvicanthis_niloticus,RODENTIA,MURIDAE,Arvicanthis,niloticus,Terrestrial,wild,283,118,0,1,2147,"(_. Geoffroy, 1803)",NA,African Grass Rat,NA,NA,LC,NA,3.1,2008,unknown,,,,,,,,,,,,,,
Arvicola_amphibius,RODENTIA,CRICETIDAE,Arvicola,amphibius,Terrestrial,wild,79,8,0,1,2149,"(Linnaeus, 1758)",Arvicola terrestris  |Arvicola terrestris  |Arvicola terrestris,"Eurasian Water Vole, European Water Vole, Water Vole",Campagnol Terrestre,Rata Topera,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
